disease,ingredients,image,recipe
고혈압,"쑥갓, 당근, 감잎, 감즙, 샐러리, 미나리, 다시마, 양파, 완두콩, 꽁치, 동태, 생선",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004022,"1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식을 합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취하는 것이 좋습니다.
2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.
3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 피하는 것이 좋습니다.
4. 간식은 정규 식사 사이에 제철 과일과 저지방우유로 섭취하는 것이 좋습니다.
5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용하여도 좋습니다.
6. 또한 염분량은 소금을 기준으로 1일 3g만 추가하도록 합니다. 
7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다."
뇌졸중,"두부, 된장, 청국장, 호두, 잣, 정어리, 다시마, 미역, 꽁치, 동태, 생선, 조개류, 쌀, 보리, 감자, 고구마, 메밀, 효소, 소맥배아,  채소, 뱀장어, 정어리, 강낭콩, 콩, 토마토, 당근, 귤, 오렌지, 레몬, 김, 현미, 깨, 멸치, 두유, 우유",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004092,"1. 구강 식사만으로 충분한 영양분과 수분섭취가 어려우면 비위관 및 위루관을 통한 위관영양을 전문가 관찰 하에 시행할 수 있습니다. 
2. 4주 미만의 위관영양이 필요한 경우에는 비위관 영양요법을, 4주 이상 위관 영양이 필요한 경우는 위루관을 권장합니다.
3. 경구로 식사가 가능한 경우는 식사의 점도, 질감을 조절하여 액체 형태보다 걸쭉한 형태(꿀농도, 넥타 농도 등)의 식사를 합니다."
당뇨병,"다시마, 미역, 김, 해파리, 채소, 쑥, 토마토, 고추, 오이, 가지, 마늘, 양파, 도라지, 무, 당근, 우엉, 상추, 양배추, 시금치, 브로콜리, 부추, 버섯, 표고버섯, 송이버섯, 느타리버섯, 팽이버섯, 목이버섯, 복숭아, 포도, 사과, 배, 감, 귤, 매실, 잣, 호두, 아몬드, 호박씨, 해바라기씨, 땅콩, 참깨, 찹쌀, 현미, 흑미, 콩, 수수, 보리쌀, 우뭇가사리, 강낭콩 ",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004317,"1. 매끼 일정한 시간에 정해진 분량의 식사를 규칙적으로 섭취합니다.
2. 하루 섭취량 안에서 6가지 식품을 골고루 섭취합니다.
3. 정상체중을 유지합니다.
4. 단당류의 섭취를 삼가합니다.
5. 지방 및 콜레스테롤의 섭취량을 줄입니다.
6. 섬유소가 풍부한 식사를 합니다.
7. 규칙적인 운동을 합니다.
8. 술은 되도록 삼가합니다."
천식,"꽁치, 동태, 생선 간, 녹황색 채소, 감귤, 귤, 잣, 호두, 해바라기씨, 호박씨, 소맥배아유, 참기름, 들기름, 곡류, 우유, 유제품, 멸치, 말린새우, 톳, 파래, 미역, 매생이, 미역, 다시마, 푸른 채소, 채소, 소맥배아",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004034,"1. 식품 알레르기에 의한 천식의 경우 알레르기 유발식품을 섭취하지 않도록 합니다.
2. 고열량 고단백식을 통해 면역강화를 하도록 합니다. 필요로 하는 식사량을 충분히 유지하고 매끼 살코기, 생선, 두부, 계란 등을 챙겨서 섭취하도록 합니다.
3. 충분한 채소와 과일 섭취가 이루어지도록 합니다."
아토피성 피부염,"채소, 과일, 브로콜리, 케일, 채소, 귤, 사과, 배, 쌀, 보리, 현미, 녹두, 팥, 우리밀, 콩, 검은콩, 두부, 두유, 된장, 청국장, 명태, 조기, 갈치, 오징어, 멸치,동태, 대구, 낙지, 문어, 굴, 해삼, 조개, 멸치, 흰살 꽁치, 동태, 생선, 올리브기름, 참기름, 들기름, 올리브유, 강낭콩",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004137,"1. 아토피 피부염의 원인 식품을 정확히 진단한 후, 이들을 식사에서 제외시키고 대체 식품을 찾아서 영양적 불균형이 생기지 않도록 해야 합니다. 원인 식품은 식사와 간식에서 엄격히 제외되어야 하며, 원인 식품이 재료로 사용된 음식뿐 아니라 이들과 접촉한 음식까지도 섭취하지 않도록 합니다. 특히 계란이나 우유는 가공 식품의 재료로 많이 이용되므로 이들에 대한 알레르기가 있는 경우, 식품 성분표를 확인한 후 섭취하는 것이 필요합니다.              
2. 산양유는 알레르기 예방 또는 대체 분유로는 부적당하며, 식품 알레르기가 없는데도 불구하고 우유, 계란, 밀가루, 콩, 두유, 땅콩 등 알레르기 고위험 식품을 제한하는 것은 아이의 성장을 저해할 수 있으므로 신중히 고려되어야 합니다."
간염,"바지락, 버섯, 표고버섯, 송이버섯, 느타리버섯, 팽이버섯, 목이버섯, 닭고기, 밥, 떡, 감자, 고구마, 과일, 채소, 닭가슴살, 살코기, 꽁치, 동태, 생선, 계란, 두부, 콩",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004275,"1. 회복을 위해 충분한 에너지 섭취가 필요하므로 당질과 지방을 통해 에너지 섭취를 늘립니다. 식사량이 적을 시에는 감자, 고구마 , 과일, 주스 등의 간식을 자주 먹습니다.
2. 고기, 생선, 두부, 계란 등의 단백질 반찬을 충분하게 먹습니다. 
3. 부족한 비타민 및 무기질 보충을 위해 채소와 과일을 충분하게 먹습니다. "
빈혈,"육류, 돼지고기, 쇠고기, 양고기, 말고기, 염소고기, 간, 계란 노른자, 아몬드, 잣, 호두, 호박씨, 해바라기씨, 땅콩, 참깨, 굴, 미역, 꽁치, 동태, 생선, 키위, 시금치, 버섯, 표고버섯, 송이버섯, 느타리버섯, 팽이버섯, 목이버섯, 콩, 강낭콩, 순무, 아스파라거스 , 고기, 꽁치, 동태, 생선, 달걀, 콩, 두부, 두유, 치즈, 간, 굴, 정어리, 분유, 계란, 달걀, 계란 노른자, 귤, 과일, 채소",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000004266,"1. 규칙적이고 다양한 식품섭취를 합니다.
2. 스테로이드 사용 시 과다한 염분 섭취는 삼가합니다.
3. 구강내 점막염이 발생한 경우 지나치게 차거나 뜨거운 음식, 향이 강한 식품, 신 음식, 거친 음식의 섭취는 삼가하도록 합니다.
4. 매끼 살코기, 생선, 계란 등의 동물성 단백질을 규칙적으로 섭취합니다.
5. 철분 흡수를 돕는 비타민C의 보충을 위해 과일이나 채소류를 규칙적으로 섭취합니다.
6. 철의 흡수를 방해하는 커피, 홍차, 녹차 등은 식사 전후를 피해서 마시도록 합니다."
심근경색증,"등푸른 꽁치, 동태, 생선, 콩, 현미, 곡류, 채소, 꽁치, 동태, 생선, 두부, 제철 과일, 우유, 살코기, 과일, 저염, 잡곡밥, 닭가슴살, ",http://www.amc.seoul.kr/healthinfo/health/attach/img/31090/20111220082649_4_31090.jpg,"1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취합니다.
2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.
3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 지양합니다.
4. 간식은 정규 식사 사이에 제철 과일과 우유로 섭취합니다.
5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)을 사용합니다.
6. 또한 염분량은 소금을 기준으로 1일 3g만 추가하도록 합니다. 
7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다."
비만,"채소, 톳, 파래, 미역, 매생이, 미역, 다시마, 곤약, 실곤약, 녹차, 보리차, 생수, 탄산수, 무가당",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000003928,"1. 개인의 건강, 생활 상황에 알맞은 섭취량을 결정합니다.
2. 하루 세끼 규칙적인 식사와 정해진 간식을 섭취 합니다.
3. 식사는 가능한 천천히 합니다. 
4. 튀김류, 부침류, 볶음류, 기름진 육류 섭취를 줄입니다.
5. 당분이 과량 첨가된 음식(사탕, 탄산음료, 초콜릿, 케이크 등)은 피합니다.
6. 신선한 채소와 해조류는 충분히 섭취합니다. 
7. 금주합니다. "
협심증,"잡곡, 쇠고기, 돼지고기 등심, 닭가슴살, 꽁치, 동태, 생선, 두부,  과일, 고기, 참기름, 들기름, 잡곡밥",http://amc.seoul.kr/asan/file/imageView.do?fileId=F000000003992,"1. 밥은 현미, 보리 등을 섞은 잡곡밥이 좋으며 기호에 따라 적정량 혼식합니다. 단, 입맛에 맞지 않을 경우 무리하게 잡곡밥을 고집하지 말고 쌀밥을 섭취합니다.
2. 고기, 두부, 생선 등의 단백질 반찬도 골고루 섭취하되 고기는 기름기와 껍질을 제거한 살코기로 섭취합니다.
3. 채소찬은 제철 채소를 이용하여 싱겁게 조리하되 장아찌, 김치 등의 염장식품은 지양합니다.
4. 간식은 정규 식사 사이에 제철 과일과 우유로 섭취합니다.
5. 전체적인 조리 방법은 지방 섭취를 줄이기 위해 튀기거나 부치는 대신 굽기, 찜, 삶는 방법을 주로 선택하나 맛을 내기 위해 적당량의 식물성기름(참기름, 들기름 등)은 사용합니다.
6. 또한 염분량은 소금을 기준으로 1일 6g만 추가하도록 합니다. 
7. 저염식 적응을 위해 조리 시 미리 염분을 넣는 것보다 무염 조리 후 따로 분량의 저염 소스를 곁들이는 것이 더욱 효과적입니다."
