,userID,age,sex,관심등록기관,관심등록질환,건강기능식품하트기록,레시피북마크기록
0,0,29,F,관절 뼈 ,빈혈,"[12001, 967, 13503, 3652, 10792, 13090, 5675, 27449, 15269, 25674, 26200, 5792, 29671, 23851, 4842, 16854, 15003, 11973, 6907, 29965, 21692, 25380, 13011, 15549, 29402, 25219, 11084, 12725, 10284, 22540, 23364, 3664, 10488, 25900, 17037, 13096, 15020, 7850, 15227, 5410, 12364, 15904, 11264, 29142, 13877, 22720, 4193, 28172, 12359, 5542]","[696, 1056, 276, 149, 55, 602, 433, 915, 186, 21, 752, 430, 570, 237, 238, 233, 82, 1048, 694, 1081, 393, 430, 961, 674, 150, 759, 462, 60, 20, 881, 1017, 93, 99, 249, 1220, 878, 68, 1096, 522, 780, 358, 412, 429, 803, 777, 822, 401, 5, 1182, 1221]"
1,1,57,M,칼슘 흡수,심근경색증,"[10037, 22064, 13996, 20723, 21317, 12566, 21341, 297, 30795, 4410, 20704, 9007, 21771, 30241, 12435, 90, 2665, 7156, 6771, 3898, 12849, 6937, 12476, 3962, 6758, 16539, 17002, 8673, 14920, 29463, 14588, 30769, 26321, 28198, 12465, 3456, 11980, 23691, 5255, 8485, 17811, 11989, 28490, 24736, 27729, 11189, 20752, 4237, 12137, 14196]","[198, 505, 561, 341, 1124, 352, 922, 387, 666, 281, 743, 267, 411, 1192, 564, 567, 609, 187, 793, 302, 1118, 1229, 572, 710, 595, 746, 147, 1085, 598, 937, 743, 173, 799, 135, 1222, 300, 641, 484, 1104, 618, 92, 1026, 1213, 247, 719, 628, 986, 1234, 836, 277]"
2,2,59,F,간 ,아토피성 피부염,"[30333, 17615, 13550, 4471, 10217, 19693, 16653, 2990, 21780, 22209, 25498, 14890, 5867, 15642, 14431, 7210, 2421, 1682, 18949, 12338, 9488, 4162, 4621, 25426, 28711, 20285, 30765, 8365, 26757, 19434, 5213, 10769, 2310, 10386, 13716, 16286, 10261, 27326, 8999, 22903, 11956, 24007, 6872, 27840, 140, 27849, 28931, 16297, 15060, 749]","[583, 641, 134, 186, 256, 931, 876, 533, 287, 817, 713, 487, 308, 1107, 35, 1066, 1184, 922, 52, 325, 267, 576, 62, 432, 404, 305, 1037, 278, 191, 313, 172, 436, 612, 136, 986, 122, 938, 564, 678, 736, 862, 895, 2, 87, 279, 667, 849, 848, 467, 859]"
3,3,58,F,어린이키성장,고혈압,"[17281, 4132, 27317, 5188, 26656, 3934, 18381, 14263, 1666, 16282, 8912, 1702, 1135, 14607, 19037, 4127, 19397, 22260, 4242, 6506, 19044, 16237, 13416, 23254, 19780, 20402, 16331, 1515, 10506, 22742, 28753, 13308, 20373, 23427, 25715, 20893, 17063, 27251, 11118, 11994, 30665, 24806, 29077, 8672, 21559, 29122, 1339, 3605, 29006, 12417]","[907, 1088, 498, 683, 294, 444, 939, 1213, 508, 803, 958, 858, 105, 900, 1043, 1083, 999, 658, 1191, 692, 496, 1022, 124, 132, 894, 433, 1130, 532, 1238, 978, 962, 677, 811, 1058, 600, 996, 377, 779, 851, 800, 420, 394, 575, 125, 996, 76, 218, 171, 864, 435]"
4,4,24,F,체지방 감소,아토피성 피부염,"[4289, 16383, 10634, 22495, 4881, 9, 9288, 3728, 14398, 12611, 11026, 15146, 698, 15370, 17626, 8874, 13237, 16565, 16325, 24677, 30216, 29059, 24547, 23272, 24011, 8996, 12996, 27857, 7310, 20861, 11832, 14071, 29351, 2220, 28027, 7868, 14403, 21695, 19934, 9545, 3298, 24918, 7907, 24408, 21321, 18219, 3397, 23682, 29835, 15761]","[215, 922, 149, 863, 968, 81, 473, 798, 195, 184, 664, 1096, 755, 716, 192, 83, 190, 424, 1064, 352, 1141, 997, 729, 1121, 853, 1111, 576, 942, 1052, 650, 278, 1030, 282, 1071, 148, 1025, 348, 748, 225, 800, 269, 296, 76, 1029, 1031, 864, 921, 163, 173, 740]"
5,5,59,M,월경전변화 ,천식,"[12551, 1019, 2505, 8622, 26335, 4309, 29566, 27588, 8726, 9418, 6507, 3608, 28545, 29512, 18970, 21495, 12467, 1959, 20884, 21063, 13976, 8624, 6146, 10636, 25471, 6910, 14433, 22125, 15385, 22608, 25250, 28116, 12028, 6291, 4162, 13346, 12363, 3844, 14000, 28999, 22790, 18557, 9989, 24703, 4744, 11899, 24741, 3760, 4645, 22371]","[1202, 957, 386, 65, 748, 121, 288, 555, 804, 857, 100, 304, 1190, 484, 239, 890, 813, 1179, 387, 358, 1094, 1169, 806, 968, 448, 490, 1111, 1012, 32, 143, 277, 813, 790, 541, 788, 221, 433, 379, 638, 461, 366, 158, 128, 390, 953, 575, 1074, 952, 244, 136]"
6,6,47,M,과민피부상태,천식,"[28967, 1010, 10732, 4173, 14464, 23449, 9708, 9173, 6878, 2549, 26778, 23847, 29870, 16585, 27854, 12198, 2803, 5310, 8238, 6836, 18601, 19197, 10835, 29713, 15764, 18241, 20377, 10879, 4190, 14044, 7711, 30368, 13469, 21242, 13568, 5182, 16407, 23497, 9439, 13513, 11716, 10235, 9441, 22902, 19280, 24918, 5982, 26741, 28681, 10691]","[161, 293, 115, 269, 970, 1152, 878, 125, 854, 684, 771, 210, 316, 577, 921, 627, 1219, 776, 515, 246, 1187, 871, 1047, 1177, 210, 230, 293, 1048, 1031, 351, 880, 1071, 362, 388, 305, 841, 215, 35, 123, 102, 402, 1192, 1025, 517, 587, 1240, 388, 66, 938, 528]"
7,7,43,F,치아 ,심근경색증,"[15877, 25498, 30500, 10229, 19242, 19005, 9518, 16691, 16455, 30095, 2946, 16586, 28393, 28802, 8446, 24079, 8411, 8612, 13227, 1510, 3578, 19263, 11388, 29378, 25237, 8757, 23398, 221, 2317, 26072, 18113, 16114, 23531, 26636, 24073, 8049, 1254, 2784, 12686, 16446, 8164, 12861, 26875, 16107, 11165, 19558, 4371, 20544, 3581, 16604]","[128, 690, 119, 80, 1086, 1149, 992, 1165, 1138, 1014, 349, 897, 369, 218, 1104, 143, 1180, 850, 314, 1238, 905, 864, 528, 24, 1148, 3, 825, 990, 819, 1139, 244, 602, 811, 746, 146, 534, 654, 841, 1028, 353, 203, 875, 1022, 613, 654, 392, 867, 553, 219, 722]"
8,8,42,M,칼슘 흡수,고혈압,"[20592, 7444, 8221, 3616, 29794, 21628, 7491, 5586, 12401, 22796, 15583, 13086, 23548, 9921, 16198, 2300, 7357, 14367, 11998, 13100, 2199, 16321, 26993, 5239, 8625, 28347, 10084, 11579, 4668, 24536, 14447, 8584, 10903, 29142, 18838, 16433, 4303, 27383, 3184, 12315, 11472, 6450, 12936, 11324, 8037, 3745, 10524, 27199, 25233, 28879]","[401, 321, 258, 1075, 303, 793, 375, 871, 901, 3, 928, 652, 956, 763, 678, 23, 1090, 990, 155, 69, 749, 494, 936, 561, 1046, 537, 431, 751, 204, 140, 313, 301, 1146, 991, 171, 183, 1216, 431, 465, 171, 1013, 728, 926, 519, 803, 74, 320, 773, 22, 629]"
9,9,26,F,배뇨기능 ,협심증,"[14324, 4146, 10498, 10681, 18144, 29815, 5405, 27452, 20080, 9853, 26146, 2405, 20557, 886, 28084, 22830, 1763, 27785, 18528, 20985, 18299, 1674, 22072, 15843, 25791, 17372, 16279, 10190, 12605, 2430, 8794, 6865, 9194, 12472, 25514, 17942, 27113, 8992, 18977, 4242, 29581, 18922, 18642, 18401, 6104, 22854, 12610, 17184, 17566, 29458]","[438, 972, 1181, 749, 222, 167, 332, 796, 1132, 78, 662, 232, 756, 862, 1103, 1042, 252, 380, 671, 895, 305, 1008, 8, 120, 304, 160, 349, 37, 360, 146, 592, 46, 109, 237, 144, 946, 6, 503, 469, 1090, 286, 1159, 1021, 309, 1169, 374, 903, 148, 205, 329]"
